id,y
37662224,1
37741884,0
36804663,1
37642222,0
37742129,0
37854423,0
37822018,0
36109709,0
37791988,0
37822030,1
37692106,0
37631992,0
37651933,0
37811785,0
37661932,0
37702003,0
37641966,0
37661950,0
37661936,0
37831998,0
37802030,0
37761127,0
37831974,0
36400279,0
37801983,0
37621910,0
37601999,0
37671926,0
37831861,0
37841743,0
37752007,1
37691982,0
37691975,0
37761908,0
37681953,0
37731824,0
37701802,0
37831843,0
37681636,1
37711880,1
37691888,1
37761254,0
37761825,0
37751902,0
37761758,0
37821828,0
37771373,0
37831894,0
37720167,0
37681303,1
37611935,0
37611902,0
37791772,1
37691828,1
37611956,1
37801825,1
37731794,0
37741729,0
37781916,0
37641760,0
37721827,1
37630954,0
37831821,0
37711792,0
36039943,0
37831763,0
37601834,1
37781802,0
37841694,0
37801612,0
37771756,0
37801349,1
37821702,0
37831666,0
37811463,0
37711705,0
37621731,0
37701695,0
37821675,0
37671710,0
37741676,0
37711575,0
11335677,0
37681714,0
37731698,0
37741195,0
37690495,0
37661596,1
37731642,0
37217579,0
37821608,0
37831402,0
37841570,1
37831639,0
37601716,0
37127479,1
37711641,0
37841552,0
37631643,0
37831674,0
37600999,1
36059066,1
37771625,0
37761587,0
37641562,0
36743141,0
37811432,1
37631545,0
37661515,0
37711552,0
37671547,0
37681471,0
37147785,0
37771542,0
37107399,0
37841472,0
37761554,1
37621413,0
37631536,0
37601584,0
37751428,0
37711505,0
37611567,0
37681506,0
37841426,0
37781601,0
37711490,1
37701318,0
37631502,0
37841429,0
37800714,0
37831477,0
37761295,0
37621513,0
37830811,1
37661426,0
37621480,0
37207932,0
37661445,0
37611542,0
37621461,0
37601076,0
36019516,0
16402028,0
37641419,1
37811487,0
37620902,0
37691476,1
37831382,0
37651373,1
37601500,0
37631386,0
37601439,0
37831271,0
37631404,0
37731349,0
37601467,0
37741410,0
37631364,1
37631387,0
37771351,0
37601493,0
37800951,1
37651345,0
37801469,0
37287167,0
37651312,0
37147634,0
37771331,0
37641323,0
37841307,1
37811352,0
36049003,1
37711342,0
37691384,0
37831326,0
37771322,0
37307321,0
37801423,0
37631346,0
37761323,0
37661321,0
37601403,0
37761340,0
37701307,0
37681171,0
37771273,0
37621337,0
37671306,0
37821296,0
37621311,1
37631305,0
37811199,0
37791206,0
37781315,0
37751264,0
37741087,0
37651203,0
36723433,0
37721298,0
37761281,0
37691283,0
37671236,0
37741222,0
37771192,0
37691249,0
37631183,0
37601287,0
36321134,0
37801276,0
37831144,0
35641141,0
37681182,1
37691252,1
36802943,0
37621238,0
36510138,0
37711197,0
37641175,0
37329725,0
37077993,0
37601268,1
37681168,0
37771170,0
37831186,0
37701153,0
37761216,0
37621004,0
37681100,0
36540233,0
36250156,1
37821032,0
37761172,0
37087831,0
35998372,1
37690894,0
37801204,0
37701110,0
37117469,0
37661126,0
37721116,0
37640945,0
